GOVERNMENT HOSPITALS 
7.920429,124.191007	BALINDONG MUNICIPAL HOSPITAL
13.4436100,121.8281600	DR. DAMIAN REYES PROVINCIAL HOSPITAL
13.3232900,121.8466400	ASUNCION A. PEREZ HOSPITAL
13.4787600,122.0322500	SANTA CRUZ DISTRICT HOSPITAL
13.3198200,122.0841400	TORRIJOS MUNICIPAL HOSPITAL
13.4447200,120.7263700	ABRA DE ILOG MUNICIPAL HOSPITAL
13.8538900,120.1077700	LUBANG DISTRICT HOSPITAL
13.2302400,120.5860500	OCCIDENTAL MINDORO PROVINCIAL HOSPITAL
13.4166400,120.4638500	PALUAN COMMUNITY HOSPITAL
12.8457100,120.7869800	SAN SEBASTIAN DISTRICT HOSPITAL
12.4002700,121.0529600	SAN JOSE DISTRICT HOSPITAL
13.0748400,120.7210600	SANTA CRUZ COMMUNITY HOSPITAL
12.7661800,121.4666100	BONGABONG COMMUNITY HOSPITAL
12.7661910,12.7661910	RENATO UMALI REYES HOSPITAL OF BONGABONG
12.3438200,121.3346100	BULALACAO COMMUNITY HOSPITAL
13.3759700,121.1776100	ORIENTAL MINDORO PROVINCIAL HOSPITAL
13.3049090,121.2899160	NAUJAN MUNICIPAL HOSPITAL
13.0021800,121.4786500	PINAMALAYAN COMMUNITY HOSPITAL
13.5005560,120.9538810	OSPITAL NG MAMAYAN NG PUERTO GALERA
12.5983400,121.4927600	ROXAS DISTRICT HOSPITAL
9.4343100,118.5495200	ABORLAN MEDICARE HOSPITAL
8.7931500,117.8355700	SOUTHERN PALAWAN PROVINCIAL HOSPITAL
12.0057600,120.1998900	CORON DISTRICT HOSPITAL
11.8917800,120.0235200	CULION SANITARIUM AND GENERAL HOSPITAL
10.8554100,121.0106500	CUYO DISTRICT HOSPITAL
10.5384800,119.6586700	VICE GOVERNOR FRANCISCO PONCE DE LEON MEMORIAL HOSPITAL
9.2739900,118.4165200	NARRA MUNICIPAL HOSPITAL
9.7466670,118.7708410	CAMP GENERAL ARTEMIO RICARTE STATION HOSPITAL
9.7480400,118.7441500	OSPITAL NG PALAWAN
9.2396200,117.9978400	QUEZON MEDICARE HOSPITAL
10.3331200,119.3404500	ROXAS MEDICARE HOSPITA
10.7718900,119.5033200	NORTHERN PALAWAN PROVINCIAL HOSPITAL
12.3667400,122.6869700	SIBUYAN DISTRICT HOSPITAL
12.7840600,122.0493200	MALIPAYON DISTRICT HOSPITA
12.2486100,122.0085700	DON MODESTO FORMELLEZA SR. MEMORIAL HOSPITAL
12.3948000,121.9837500	ROMBLON PROVINCIAL HOSPITAL
12.5861000,122.2718500	ROMBLON DISTRICT HOSPITAL
12.5692500,122.1325100	TABLAS ISLAND DISTRICT HOSPITAL
12.5217900,122.0102700	SAN ANDRES MUNICIPAL HOSPITAL
12.0632300,121.9485200	SAN JOSE DISTRICT HOSPITAL
6.7002702,121.9881516	BASILAN GENERAL HOSPITAL
8.6395102,123.4156723	DR. JOSE RIZAL MEMORIAL HOSPITA
8.6050901,123.3484726	ZAMBOANGA DEL NORTE MEDICAL CENTER
8.0464201,122.5437698	LABASON DISTRICT HOSPITAL
8.1220703,122.6749573	LILOY INTEGRATED HEALTH DISTRICT HOSPITAL
8.5105600,123.0921783	MANUKAN MEDICARE COMMUNITY HOSPITAL
8.4833097,123.4452667	PIÑAN DISTRICT HOSPITAL
8.3051796,123.4757996	SERGIO OSMEÑA SR. MUNICIPAL HOSPITAL
7.2884002,122.0668564	SIBUCO MUNICIPAL HOSPITAL
8.6369104,123.4709702	SIBUTAD MUNICIPAL HOSPITAL
8.2344503,122.9980698	SINDANGAN DISTRICT HOSPITAL
7.6981702,122.1390381	SIOCON DISTRICT HOSPITAL
7.9103198,123.4958801	KUTA MAJOR CESAR L. SANG-AN STATION HOSPITAL
8.1365995,123.4437180	MAHAYAG MUNICIPAL HOSPITAL
7.5759001,123.1644897	MARGOSATUBIG REGIONAL HOSPITAL
8.0296497,123.3138809	MIDSALIP INFIRMARY HOSPITAL
7.8435898,123.4294968	ZAMBOANGA DEL SUR MEDICAL CENTER
6.9074798,122.0811081	ZAMBOANGA CITY MEDICAL CENTER
6.9176302,122.0374832	CAMP NAVARRO GENERAL HOSPITAL
6.9236698,122.0689468	EDWIN ANDREWS AIRBASE HOSPITAL
6.9668899,122.1330109	MINDANAO CENTRAL SANITARIUM
7.0976300,121.9037628	LABUAN PUBLIC HOSPITAL
7.1832600,122.2195511	CRISTINO M. PARAGAS MEMORIAL HOSPITAL
7.1994400,122.1783829	CURUAN COMMUNITY HOSPITAL
7.5063601,122.9446716	ALICIA DISTRICT HOSPITAL
7.6827698,122.9801636	WILFREDO C. PALMA MEMORIAL HOSPITAL
7.7923498,122.5996170	ZAMBOANGA SIBUGAY PROVINCIAL HOSPITAL
7.8031902,122.7690277	KABASALAN PATHFINDER HOSPITAL
7.3661098,122.8447723	OLUTANGA MUNICIPAL HOSPITAL
7.5945601,122.8072891	PAYAO MUNICIPAL HOSPITAL
13.3185560,123.8820790	CAGRARAY DISTRICT HOSPITAL
13.2391400,123.5564400	JOSEFINA BELMONTE DURAN MEMORIAL DISTRICT HOSPITAL
13.3578623,123.7215632	ZIGA MEMORIAL DISTRICT HOSPITAL
13.14691,123.72461	BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
13.1952780,123.3373290	PANTAO DISTRICT HOSPITAL
13.1233690,123.8689850	MANITO MUNICIPAL HOSPITAL
13.0317100,123.4519300	PIO DURAN MEMORIAL DISTRICT HOSPITAL
13.1865595,124.1281512	RAPURAPU DISTRICT HOSPITAL
14.3248300,122.4985800	CAPALONGA MEDICARE COMMUNITY HOSPITAL
14.1245800,122.9518000	CAMARINES NORTE PROVINCIAL HOSPITAL
14.1890800,122.7226100	LABO DISTRICT HOSPITAL
13.7616701,123.0230865	BICOL SANITARIUM
13.7775790,123.8757790	CARAMOAN MUNICIPAL HOSPITAL
13.8758360,123.7196400	GARCHITORENA COMMUNITY MEDICARE HOSPITAL
13.7013000,123.0543500	LIBMANAN DISTRICT HOSPITAL
13.6234503,123.1987762	BICOL MEDICAL CENTER
13.6295600,123.1898700	NAGA CITY HOSPITAL
13.5663980,123.4228110	OCAMPO MUNICIPAL HOSPITAL
13.5375970,123.4460220	SAN RAMON MUNICIPAL HOSPITAL
13.5921160,123.2797910	CAMP ELIAS ANGELES STATION HOSPITAL
13.8154000,122.7688000	RAGAY DISTRICT HOSPITAL
13.6038080,123.5223990	DR. MANUEL T. FUENTEBELLA MEMORIAL HOSPITAL
13.7019920,123.5240420	SAN JOSE MEDICARE COMMUNITY HOSPITAL
13.7712120,122.9780620	SIPOCOT DISTRICT HOSPITAL
14.0231300,123.2587700	SIRUMA MUNICIPAL HOSPITAL
13.6184790,123.4923540	TIGAON MUNICIPAL HOSPITAL
13.8125600,123.3272000	TINAMBAC MEDICARE COMMUNITY HOSPITAL
13.8214200,123.3233900	TINAMBAC MUNICIPAL HOSPITAL
13.6081500,124.3029400	BATO MATERNITY AND CHILDRENS HOSPITAL
13.8766900,124.1367200	CARAMORAN MUNICIPAL HOSPITAL
13.7791000,124.3895700	GIGMOTO DISTRICT HOSPITAL
14.0467700,124.1712500	PANDAN DISTRICT HOSPITAL
13.5979400,124.1085600	JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL
13.8641354,124.3113301	VIGA DISTRICT HOSPITAL
13.5645005,124.2033700	EASTERN BICOL MEDICAL CENTER
12.5102980,123.4132810	AROROY MUNICIPAL HOSPITAL
12.0397180,123.1976440	BALUD MUNICIPAL HOSPITAL
12.0076100,123.9901100	CATAINGAN DISTRICT HOSPITAL
11.9439160,123.7617440	CAWAYAN MUNICIPAL HOSPITAL
12.3721500,123.6237200	MASBATE PROVINCIAL HOSPITAL
12.8971600,123.2473200	CLAVERIA DISTRICT HOSPITAL
12.1866290,123.8647120	MOISES ESPINOSA SR. MEMORIAL MUNICIPAL HOSPITAL
12.2263060,123.2905750	MANDAON MEDICARE COMMUNITY HOSPITAL
12.5642680,123.7305170	TICAO DISTRICT HOSPITAL
"12.6647800, 	123.8758600 "	PANTALEON G. GOTLADERA MEMORIAL HOSPITAL
12.9512900,123.8808100	VICENTE PERALTA MEMORIAL DISTRICT HOSPITAL
12.9806320,123.9853030	DR. FERNANDO B. DURAN SR MEMORIAL HOSPITAL
12.9122269,123.5994583	DONSOL DISTRICT HOSPITAL
12.9221500,124.1200100	GUBAT DISTRICT HOSPITAL
12.7096000,124.0291700	IROSIN DISTRICT HOSPITAL
12.8227120,123.8531190	MAGALLANES MEDICARE HOSPITAL
12.5910930,124.0804500	MATNOG MEDICARE COMMUNITY HOSPITAL
13.0446890,124.1914900	PRIETO DIAZ MUNICIPAL HOSPITAL
11.5343800,122.4798813	JUSTICE GODOFREDO P. RAMOS MEMORIAL HOSPITAL
11.8441496,121.8872375	BURUANGA MUNICIPAL HOSPITAL
11.8114996,122.1535187	IBAJAY DISTRICT HOSPITAL
11.6886396,122.3694534	PANAY HEALTH CARE MULTI-PURPOSE COOPERATIVE HOSPITAL
11.7054501,122.3671188	DR. RAFAEL S. TUMBOKON MEMORIAL PROVINCIAL HOSPITAL
11.4804697,122.3052292	LIBACAO MUNICIPAL HOSPITAL
11.5236301,122.3044968	DON LEOVIGILDO DIAPO SR. MUNICIPAL HOSPITAL
11.7122202,122.2931290	DR. RAMON B. LEGASPI SR. MEMORIAL HOSPITAL
11.9040003,121.9254303	MALAY MUNICIPAL HOSPITAL
11.9607296,121.9279785	DON CIRIACO S. TIROL SR. MEMORIAL HOSPITAL
11.2019100,122.0374069	PEDRO L. GINDAP MUNICIPAL HOSPITAL
11.0399103,122.0570831	BUGASONG MEDICARE COMMUNITY HOSPITAL
11.4241600,122.0614014	CULASI DISTRICT HOSPITAL
11.7303495,122.0902710	JUSTICE CALIXTO O. ZALDIVAR MEMORIAL HOSPITAL
10.7535000,121.9420013	ANGEL SALAZAR MEMORIAL GENERAL HOSPITAL
11.5870399,122.0940018	SEBASTE COMMUNITY HOSPITAL
10.7896605,122.0186615	RAMON MAZA SR. MEMORIAL DISTRICT HOSPITAL
10.5009003,121.9409180	PRESIDENT DIOSDADO MACAPAGAL DISTRICT HOSPITAL
11.0022097,122.1271210	VALDERRAMA MUNICIPAL HOSPITAL
11.3919096,122.6839218	SEN. GERARDO ROXAS MEMORIAL DISTRICT HOSPITAL
11.2579098,122.6842499	DUMARAO MEDICARE COMMUNITY HOSPITAL
11.4027100,122.5083237	CAMP PERALTA STATION HOSPITA
11.4324503,122.6044312	MAMBUSAO DISTRICT HOSPITAL
11.4524097,122.8212509	BAILAN DISTRICT HOSPITAL
11.5879698,122.7529526	ROXAS MEMORIAL PROVINCIAL HOSPITAL
11.2539101,122.5222473	TAPAZ DISTRICT HOSPITAL
10.6964598,122.6610031	BUENAVISTA EMERGENCY HOSPITAL
10.5979404,122.5895462	DR. CATALINO GALLEGO NAVA PROVINCIAL HOSPITAL
10.4714804,122.5418625	NUEVA VALENCIA DISTRICT HOSPITAL
10.7891798,122.4313278	ALEOSAN DISTRICT HOSPITAL
11.4580097,123.1031036	JESUS M. COLMENARES DISTRICT HOSPITAL
10.8970299,122.6954269	DON JOSE S. MONFORT MEDICAL CENTER
11.0447302,122.8487701	BAROTAC VIEJO DISTRICT HOSPITAL
10.8694296,122.4959030	RAMON TABIANA MEMORIAL DISTRICT HOSPITAL
11.1132698,122.5377808	DR. RICARDO S. PROVIDO SR. MEMORIAL DISTRICT HOSPITAL
11.1077404,122.6385880	DON VALERIO PALMARES SR. MEMORIAL DISTRICT HOSPITAL
10.8284998,122.7127533	DUMANGAS DISTRICT HOSPITAL
10.6618700,122.3234177	REP. PEDRO TRONO MEMORIAL DISTRICT HOSPITAL
10.7160797,122.5614777	WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER
10.7180500,122.5418701	WESTERN VISAYAS MEDICAL CENTER
10.9581003,122.5034790	FEDERICO ROMAN TIRADOR SR. MEMORIAL DISTRICT HOSPITAL
11.0608501,122.4830780	DR. RICARDO Y. LADRIDO MEMORIAL DISTRICT HOSPITAL
10.8727398,122.5815506	NEW LUCENA POLYTECHNIC COLLEGE MEDICAL CLINIC AND HOSPITAL
10.9266195,122.6307220	ILOILO PROVINCIAL HOSPITAL
10.5866299,122.1418762	SAN JOAQUIN MOTHER AND CHILD HOSPITAL
10.8131704,122.5268478	WESTERN VISAYAS SANITARIUM
11.2629995,123.0253525	SARA DISTRICT HOSPITAL
9.9111996,123.8767624	CALAPE MOTHER AND CHILD HOSPITAL
9.8168697,124.5000229	CANDIJAY COMMUNITY HOSPITAL
9.8249598,124.1979370	CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL
9.8508701,123.9959869	CATIGBIAN DISTRICT HOSPITAL
9.9631596,124.0234909	CLARIN COMMUNITY HOSPITAL
9.6051798,124.1620026	DIMIAO MUNICIPAL INFIRMARY
10.0340500,124.0678864	FRANCISCO DAGOHOY MUNICIPAL HOSPITAL
9.6514502,124.3713226	TEODORO B. GALAGAR DISTRICT HOSPITAL
9.8164797,123.8005676	CONGRESSMAN NATALIO P. CASTILLO SENIOR MEMORIAL HOSPITAL
9.7451696,123.8520813	MARIBOJOC COMMUNITY HOSPITAL
10.0553598,124.4701920	PRESIDENT CARLOS P. GARCIA MUNICIPAL HOSPITAL
9.9985504,124.3238068	SAN MIGUEL HOSPITAL
9.6439600,123.8568802	GOV. CELESTINO GALLARES MEMORIAL HOSPITAL
10.1306400,124.3185577	GARCIA MEMORIAL PROVINCIAL HOSPITAL
9.9436598,123.9610138	TUBIGON COMMUNITY HOSPITAL
10.0408001,124.4771500	DON EMILIO DEL VALLE MEMORIAL HOSPITAL
9.8820601,123.6088715	ISIDRO C. KINTANAR MEMORIAL HOSPITAL
9.8697596,123.3995972	BADIAN DISTRICT HOSPITAL
10.4990101,123.7188492	CEBU PROVINCIAL HOSPITAL (BALAMBAN)
11.1720104,123.7311172	BANTAYAN DISTRICT HOSPITAL
10.1145401,123.5040207	BARILI DISTRICT HOSPITAL
10.2866201,123.8717499	SAINT ANTHONY MOTHER AND CHILD HOSPITAL
10.2974195,123.8914185	CEBU CITY MEDICAL CENTER
10.3082705,123.8915024	VICENTE SOTTO MEMORIAL MEDICAL CENTER
10.3128996,123.9035416	PNP STATION HOSPITAL
10.3377504,123.9033432	CAMP LAPULAPU ARMY STATION HOSPITAL
10.3986101,123.9154510	GUBA COMMUNITY HOSPITAL
11.0466003,123.9940872	SEVERO VERALLO MEMORIAL DISTRICT HOSPITAL
10.2535896,123.8384628	TALISAY DISTRICT HOSPITAL
10.2535896,123.8384628	TALISAY DISTRICT HOSPITAL
11.2453403,124.0079727	DAANBANTAYAN DISTRICT HOSPITAL
10.5221996,124.0288162	CEBU PROVINCIAL HOSPITAL
10.2706699,124.0603638	SANTA ROSA COMMUNITY HOSPITAL
10.3015699,123.9508820	LAPU-LAPU CITY HOSPITAL
10.3108902,123.9592667	BRIGADIER GENERAL BENITO N. EBUEN AIR BASE HOSPITAL
9.6565304,123.3289719	MARIANO JESUS CUENCO MEMORIAL HOSPITAL
10.3233805,123.9426880	MANDAUE CITY HOSPITAL
10.3663702,10.3663702	EVERSLEY CHILD SANITARIUM
10.2488804,123.8040695	MINGLANILLA DISTRICT HOSPITAL
9.5267696,123.4319763	OSLOB DISTRICT HOSPITAL
10.2863703,123.5864029	DR. JOSE MA. V. BORROMEO MEMORIAL HOSPITAL
10.6575699,124.3710022	RICARDO L. MANINGO MEMORIAL HOSPITAL
10.7691097,124.0044403	JUAN B. DOSADO MEMORIAL HOSPITAL
10.3871002,123.6503601	TOLEDO CITY GENERAL HOSPITAL
10.7223902,123.8232422	TUBURAN DISTRICT HOSPITAL
9.1290102,123.6464691	LAZI MEDICARE COMMUNITY HOSPITAL
9.2175598,123.5253296	SIQUIJOR PROVINCIAL HOSPITAL
11.5579996,124.3949966	BILIRAN PROVINCIAL HOSPITAL
12.2570000,125.3710022	ARTECHE DISTRICT HOSPITAL
11.1072845,125.3913422	ALBINO M. DURAN DISTRICT HOSPITAL
11.9994402,125.4479599	CAN-AVID COMMUNITY HOSPITAL
11.6113167,125.4320755	EASTERN SAMAR PROVINCIAL HOSPITAL
12.0371504,125.4758606	DOLORES MUNICIPAL HOSPITAL
11.2460003,125.5370026	GENERAL MACARTHUR COMMUNITY HOSPITAL
10.7417297,125.7222214	HOMONHON ISLAND COMMUNITY HOSPITAL
11.0355501,125.7248077	FELIPE ABRIGO MEMORIAL HOSPITAL
11.4089603,125.5423279	LLORENTE MUNICIPAL HOSPITAL
12.1450005,125.4349976	ORAS DISTRICT HOSPITAL
11.1580696,125.5218277	QUINAPONDAN COMMUNITY HOSPITAL
11.9034300,125.4193115	TAFT DISTRICT HOSPITAL
10.7590799,125.0042419	ABUYOG DISTRICT HOSPITAL
10.9798822,124.8839188	BURAUEN DISTRICT HOSPITAL
11.4498940,124.4257126	NORTHWESTERN LEYTE DISTRICT HOSPITAL
11.3020077,124.7035828	CARIGARA DISTRICT HOSPITAL
10.6794796,124.8003006	WESTERN LEYTE PROVINCIAL HOSPITAL
10.7434797,124.7907944	VISAYAS STATE UNIVERSITY HOSPITAL
10.9587736,125.0308762	SALAG HOSPITAL
10.3708000,124.7532806	HILONGOS DISTRICT HOSPITAL
11.1665726,124.5459976	KANANGA MUNICIPAL HOSPITAL
10.2779999,124.7870026	MATALOM COMMUNITY HOSPITAL
11.0226898,124.6031189	ORMOC DISTRICT HOSPITAL
11.1553097,124.9947891	SCHISTOSOMIASIS CONTROL AND RESEARCH HOSPITAL
11.1617603,124.9919434	LEYTE PROVINCIAL HOSPITAL
11.0453997,124.3906174	DR. MANUEL B. VELOSO MEMEMORIAL HOSPITAL
11.3109999,124.3750000	TABANGO COMMUNITY HOSPITAL
11.1983004,125.0048981	TACLOBAN CITY HOSPITAL
11.2447615,125.0042343	TACLOBAN MATERNITY HOSPITAL
11.2512302,125.0045166	EASTERN VISAYAS REGIONAL MEDICAL CENTER
11.2036676,124.4239502	VILLABA COMMUNITY HOSPITAL
12.4966602,124.2831726	ALLEN DISTRICT HOSPITAL
12.6776199,124.3621979	BIRI INFIRMARY
12.4263601,124.1769180	CAPUL INFIRMARY
12.5004902,124.6365967        	NORTHERN SAMAR PROVINCIAL HOSPITAL
12.4080601,125.0528107	CATUBIG INFRIMARY
12.3855696,125.3026276	GAMAY DISTRICT HOSPITAL
12.5729904,125.0145721	DR. GREGORIO B. TAN MEMORIAL HOSPITAL
12.4060097,124.2783966	SAN ANTONIO INFIRMARY
12.2652435,124.1035995	SAN VICENTE INFIRMARY
11.2792501,125.0651398	BASEY DISTRICT HOSPITAL
12.0683022,124.5989151	CALBAYOG DISTRICT HOSPITAL
11.7728596,124.8843994	SAMAR PROVINCIAL HOSPITAL
11.7922382,124.8677444	CAMP LUKBAN STATION HOSPITAL
12.0229998,124.8170013	GANDARA DISTRICT HOSPITAL
11.9013100,124.7464828	TARANGNAN COMMUNITY HOSPITAL
10.2749996,125.2549973	ANAHAWAN DISTRICT HOSPITAL
10.1562357,124.8401108	SOUTHERN LEYTE PROVINCIAL HOSPITAL
10.4020004,125.1900024	HINUNANGAN COMMUNITY HOSPITAL
10.1549997,125.1190033	LILOAN COMMUNITY HOSPITAL
10.0252829,125.0195770	PADRE BURGOS COMMUNITY HOSPITAL
9.9446297,125.2516785	PINTUYAN DISTRICT HOSPITAL
10.3839998,124.9759979	SOGOD DISTRICT HOSPITAL
10.3862696,124.9799728	PUDPUD POLYCLINIC & SPECIALTY HOSPITAL
8.1278400,125.1287613	BUKIDNON PROVINCIAL MEDICAL CENTER OF MALAYBALAY CITY
7.7383499,124.7355118	BUKIDNON PROVINCIAL HOSPITAL - KALILANGAN
7.5715399,124.9921112	BUKIDNON PROVINCIAL HOSPITAL - KIBAWE
8.5332003,124.8778076	BUKIDNON PROVINCIAL HOSPITAL - MALITBOG
8.3845997,124.8391266	BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH
7.7640200,125.0084610	BUKIDNON PROVINCIAL HOSPITAL - MARAMAG
7.8478999,125.0615997	CENTRAL MINDANAO UNIVERSITY HOSPITAL
7.9254298,125.3212280	BUKIDNON PROVINCIAL HOSPITAL - SAN FERNANDO
8.2320499,124.5989532	BUKIDNON PROVINCIAL HOSPITAL-TALAKAG
9.1227398,124.6769714	CATARMAN DISTRICT HOSPITAL
9.2480803,124.7216721	CAMIGUIN GENERAL HOSPITAL
8.1074696,124.2249985	BALOI PROVINCIAL HOSPITAL
8.0331402,123.7876434	LANAO DEL NORTE PROVINCIAL HOSPITAL
8.2207203,124.2575607	GREGORIO T. LLUCH MEMORIAL HOSPITAL
7.8941598,123.7667618	KAPATAGAN PROVINCIAL HOSPITAL
8.1877403,124.0899734	KAUSWAGAN PROVINCIAL HOSPITAL
8.1143503,123.9029007	KOLAMBUGAN PROVINCIAL HOSPITAL
7.8036699,123.7230835	SULTAN NAGA DIMAPORO PROVINCIAL HOSPITAL
8.5587502,123.6356125	CALAMBA DISTRICT HOSPITAL
8.3352203,123.8384323	JIMENEZ MEDICARE COMMUNITY HOSPITAL
8.4821796,123.8028183	MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL
8.1540699,123.8542328	SM LAO MEMORIAL CITY GENERAL HOSPITAL
8.1696196,123.8586578	MAYOR HILARION A. RAMIRO, SR. REGIONAL TRAINING AND TEACHING HOSPITAL
8.0568504,123.7502594	DOÑA MARIA D. TAN MEMORIAL HOSPITAL
8.2411900,123.8473129	TUDELA MUNICIPAL HOSPITAL
8.7423296,124.7737274	MISAMIS ORIENTAL PROVINCIAL HOSPITAL - BALINGASAG
8.4821701,124.6283569	JR BORJA GENERAL HOSPITAL
8.48553,124.64968	NORTHERN MINDANAO MEDICAL CENTER
8.4907103,124.6178589	CAMP EVANGELISTA STATION HOSPITAL
8.6097097,124.8877869	MISAMIS ORIENTAL PROVINCIAL HOSPITAL - CLAVERIA
8.8211098,125.1108475	MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG
8.4941797,124.3058319	MISAMIS ORIENTAL PROVINCIAL HOSPITAL - INITAO
8.6544905,124.7530289	JASAAN MUNICIPAL HOSPITAL
9.0276003,125.1866684	MISAMIS ORIENTAL PROVINCIAL HOSPITAL - MAGSAYSAY
8.3986702,124.2876816	MISAMIS ORIENTAL PROVINCIAL HOSPITAL- MANTICAO
8.9984999,124.8802338	MISAMIS ORIENTAL PROVINCIAL HOSPITAL - TALISAYAN
7.8138599,125.7919769	COMPOSTELA VALLEY PROVINCIAL HOSPITAL - LAAK
7.3183899,126.1218338	COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MARAGUSAN
7.7258101,125.9913406	COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MONTEVISTA
7.1631298,125.9584808	COMPOSTELA VALLEY PROVINCIAL HOSPITAL - PANTUKAN
7.3526802,125.7035522	DAVAO DEL NORTE HOSPITAL - CARMEN ZONE
7.4219899,125.8289719	DAVAO REGIONAL HOSPITAL
7.0762401,125.7072906	DAVAO DEL NORTE HOSPITAL (ISLAND GARDEN CITY OF SAMAL ZONE)
7.6267600,125.7213135	DAVAO DEL NORTE HOSPITAL - KAPALONG ZONE
6.7459402,125.3603516	DAVAO DEL SUR PROVINCIAL HOSPITAL
7.0999098,125.6176300	SOUTHERN PHILIPPINES MEDICAL CENTER
7.1533999,125.6611099	CAMP PANACAN STATION HOSPITAL
6.6187401,125.2394333	GREGORIO MATIAS DISTRICT HOSPITAL
5.9078202,125.6368408	TOMAS LACHICA DISTRICT HOSPITAL
6.4134402,125.6006775	MALITA DISTRICT HOSPITAL
5.8201599,125.2098389	SARANGANI MUNICIPAL HOSPITAL
7.7849202,126.4487915	DAVAO ORIENTAL PROVINCIAL HOSPITAL-CATEEL
6.9440999,126.2431488	DAVAO ORIENTAL PROVINCIAL MEDICAL CENTER
6.6566200,126.0720520	DAVAO ORIENTAL PROVINCIAL HOSPITAL - GOVERNOR GENEROSO
6.8955498,126.0217667	DAVAO ORIENTAL PROVINCIAL HOSPITAL - LUPON
7.2248201,126.5461121	DAVAO ORIENTAL PROVINCIAL HOSPITAL - MANAY
7.3497300,124.5616302	ALAMADA PROVINCIAL COMMUNITY HOSPITAL
7.2413502,125.0633469	ARAKAN VALLEY DISTRICT HOSPITAL
7.0079799,125.0890274	KIDAPAWAN CITY HOSPITAL
7.0569501,124.9930573	COTABATO PROVINCIAL HOSPITAL
7.11418,124.83759	UNIVERSITY OF SOUTHERN MINDANAO (USM) HOSPITAL
7.1894102,124.5305862	DR. AMADO B. DIAZ PROVINCIAL FOUNDATION HOSPITAL
6.9481301,124.8787918	M'LANG DISTRICT HOSPITAL
7.0997901,125.0464706	PRES. ROXAS PROVINCIAL COMMUNITY HOSPITAL
6.8298602,124.8744202	DR. TULIO FAVALI MUNICIPAL HOSPITAL
7.2000499,124.2367630	COTABATO REGIONAL AND MEDICAL CENTER
5.8207302,125.2100067	GLAN MEDICARE COMMUNITY HOSPITAL
5.9885001,124.6226425	KIAMBA DISTRICT HOSPITAL
5.8629398,124.9974136	MAASIM MUNICIPAL HOSPITAL
6.0622101,124.4945374	MAITUM MUNICIPAL HOSPITAL
6.3764000,125.2732086	MALUNGON MUNICIPAL HOSPITAL
6.4931698,124.8396072	SOUTH COTABATO PROVINCIAL HOSPITAL
6.1260600,125.1857071	GENERAL SANTOS CITY HOSPITAL
6.2282701,124.7186279	LAKE SEBU MUNICIPAL HOSPITAL
6.5224700,124.6612701	NORALA DISTRICT HOSPITAL
6.2306199,125.0320816	POLOMOLOK MUNICIPAL HOSPITAL
6.3395901,124.9512787	ROEL I. SENADOR MEMORIAL HOSPITAL
6.6410699,124.6053467	SULTAN KUDARAT PROVINCIAL HOSPITAL
6.5735798,124.0505295	KALAMANSIG MUNICIPAL HOSPITAL
6.7750802,124.6238708	LAMBAYONG DISTRICT HOSPITAL
6.6358900,124.0631332	MEDICARE COMMUNITY HOSPITAL OF LEBAK
6.35799,124.34869	SENATOR NINOY AQUINO MUNICIPAL HOSPITAL
8.94793,125.50525	AGUSAN DEL NORTE PROVINCIAL HOSPITAL
8.98607,125.52427	BUTUAN MEDICAL CENTER
9.1143599,125.5279999	CABADBARAN DISTRICT HOSPITAL
9.3323298,125.5162582	JABONGA MUNICIPAL HOSPITAL
9.4551601,125.5759811	KITCHARAO DISTRICT HOSPITAL
8.7324896,125.6051636	LAS NIEVES MUNICIPAL HOSPITAL
8.97140,125.35160	NASIPIT DISTRICT HOSPITAL
8.1761703,125.9954376	BUNAWAN DISTRICT HOSPITAL
8.71460,125.74810	BAYUGAN COMMUNITY HOSPITAL
8.27161,125.79995	LA PAZ MUNICIPAL HOSPITAL
8.60417,125.91401	D.O. PLAZA MEMORIAL HOSPITAL
9.95400,125.59960	DINAGAT DISTRICT HOSPITAL
10.20012,125.56667	ALBOR DISTRICT HOSPITAL
10.3552103,125.5773163	LORETO DISTRICT HOSPITAL
9.78433,125.49003	CARAGA REGIONAL HOSPITAL
9.75867,126.05718	SIARGAO DISTRICT HOSPITAL
9.86949,125.97328	DEL CARMEN DISTRICT HOSPITAL
9.56003,125.68652	GIGAQUIT MUNICIPAL HOSPITAL
9.54022,125.52422	MAINIT MEDICARE COMMUNITY HOSPITAL
9.61772,125.40199	MALIMONO DISTRICT HOSPITAL
9.86496,126.10089	PILAR DISTRICT HOSPITAL
9.65150,125.60483	PLACER DISTRICT HOSPITAL
10.01874,126.03776	SANTA MONICA MUNICIPAL HOSPITAL
9.61951,125.96149	SOCORRO DISTRICT HOSPITAL
8.2066498,126.3223572	BISLIG DISTRICT HOSPITAL
9.0685701,126.1903534	ADELA SERRA TY MEMORIAL MEDICAL CENTER
9.24353,126.17198	CORTES MUNICIPAL HOSPITAL
